"CMTE_ID","Amount","CMTE_NM","CONNECTED_ORG_NM","CMTE_TP"
"type_FeedLikesScore",27.086956521738625,"Feed Likes Score","",""
"type_UploadedPhotosLikesScore",25.5,"Uploaded Photos Likes Score","",""
"type_LinksWithTagsScore",22.10000000000006,"Links With Tags Score","",""
"type_TaggedPhotosLikesScore",21.78571428571438,"Tagged Photos Likes Score","",""
"type_LinksStoryTagsScore",18.0,"Links Story Tags Score","",""
"type_UserPhotoLikesLikesScore",17.391304347826107,"User Photo Likes Likes Score","",""
"type_StatusesLikesScore",16.384615384615472,"Statuses Likes Score","",""
"type_StatusesCommentsScore",14.5625,"Statuses Comments Score","",""
"type_LinksCommentsScore",13.0,"Links Comments Score","",""
"type_TaggedPhotosTagsScore",6.75,"Tagged Photos Tags Score","",""
"type_TaggedPhotosPhotoTagsScore",5.142857142857145,"Tagged Photos Photo Tags Score","",""
"type_StatusesTagsScore",4.714285714285715,"Statuses Tags Score","",""
"type_TaggedPhotosCommentsScore",4.000000000000001,"Tagged Photos Comments Score","",""
"type_UploadedPhotosMessageTagsScore",4.0,"Uploaded Photos Message Tags Score","",""
"type_UploadedPhotosTagsScore",3.0,"Uploaded Photos Tags Score","",""
"type_UploadedPhotosCommentsScore",3.0,"Uploaded Photos Comments Score","",""
"type_TaggedPhotosMessageTagsScore",2.5,"Tagged Photos Message Tags Score","",""
"type_StatusesMessageTagsScore",2.0,"Statuses Message Tags Score","",""
"type_UploadedPhotosPhotoTagsScore",2.0,"Uploaded Photos Photo Tags Score","",""
